rank,package_name,num_direct_dependents
377,@radix-ui/react-use-controllable-state,19
378,file-loader,19
379,picocolors,19
380,@aws-sdk/fetch-http-handler,19
381,@babel/plugin-transform-react-jsx,19
382,diff,19
383,@aws-sdk/service-client-documentation-generator,19
384,ckeditor5,19
385,@aws-sdk/middleware-user-agent,19
386,eslint-plugin-eslint-comments,19
387,@aws-sdk/util-defaults-mode-node,19
388,@aws-sdk/util-defaults-mode-browser,19
389,@aws-sdk/util-body-length-node,19
390,@aws-sdk/util-body-length-browser,19
391,microbundle,19
392,@aws-sdk/url-parser,19
393,@aws-sdk/util-retry,19
394,@aws-sdk/util-user-agent-browser,19
395,@aws-sdk/node-http-handler,19
396,@aws-sdk/util-user-agent-node,19
397,@aws-sdk/util-utf8-node,19
398,@aws-sdk/middleware-recursion-detection,19
399,@aws-sdk/util-base64,19
400,@aws-sdk/middleware-retry,19
401,@ckeditor/ckeditor5-basic-styles,19
402,@aws-sdk/middleware-serde,19
403,pify,19
404,is-ci,18
405,deepmerge,18
406,object-assign,18
407,@testing-library/react-hooks,18
408,@types/enzyme,18
409,@ckeditor/ckeditor5-image,18
410,schema-utils,18
411,@types/tmp,18
412,cheerio,18
413,iconv-lite,18
414,gulp-uglify,18
415,has-symbols,18
416,@ckeditor/ckeditor5-enter,18
417,get-intrinsic,18
418,micromark-util-character,18
419,@storybook/client-logger,18
420,@ckeditor/ckeditor5-typing,18
421,karma-phantomjs-launcher,18
422,@swc/jest,18
423,@storybook/addons,18
424,@aws-sdk/credential-provider-node,18
425,@babel/plugin-proposal-optional-chaining,18
426,snazzy,18
427,ignore,18
428,connect,18
429,@types/ws,18
430,karma-browserify,18
431,resolve-from,18
432,marked,18
433,terser-webpack-plugin,17
434,gulp-istanbul,17
435,punycode,17
436,react-native,17
437,karma-safari-launcher,17
438,@ckeditor/ckeditor5-heading,17
439,handlebars,17
440,prosemirror-state,17
441,@babel/node,17
442,mdast-util-from-markdown,17
443,eslint-plugin-html,17
444,graphql,17
445,gulp-sourcemaps,17
446,mock-fs,17
447,coffee-script,17
448,mini-css-extract-plugin,17
449,@commitlint/utils,17
450,ncp,17
451,tar,17
452,cosmiconfig,17
453,karma-chai,17
454,@opentelemetry/context-async-hooks,17
455,has,17
456,qs,17
457,espree,17
458,@rollup/pluginutils,17
459,@types/micromatch,17
460,@babel/code-frame,17
461,through,17
462,jiti,17
463,@opentelemetry/instrumentation,17
464,cssnano,17
465,jest-junit,17
466,@types/prettier,17
467,@types/jsdom,17
468,invariant,17
469,@aws-sdk/middleware-signing,17
470,@aws-sdk/client-sts,17
471,loader-utils,17
472,eslint-config-gulp,16
473,@types/rimraf,16
474,fetch-mock,16
475,grunt-contrib-clean,16
476,minipass,16
477,ora,16
478,postcss-loader,16
479,istanbul-instrumenter-loader,16
480,tslint-config-prettier,16
481,@babel/generator,16
482,jsonc-parser,16
483,commitizen,16
484,assume,16
485,yargs-parser,16
486,@storybook/react,16
487,karma-rollup-preprocessor,16
488,@jest/test-utils,16
489,@ckeditor/ckeditor5-clipboard,16
490,@babel/plugin-proposal-nullish-coalescing-operator,16
491,@types/yargs,16
492,redux,16
493,@testing-library/dom,16
494,moment,16
495,@pika/pack,16
496,deep-equal,16
497,vows,16
498,parse5,16
499,@pika/plugin-build-web,15
500,colors,15
