rank,package_name,transitive_reach
295,detect-port,3420
296,babel-plugin-transform-react-remove-prop-types,3420
297,hash-sum,3420
298,istanbul-lib-processinfo,3420
299,spawn-command,3420
300,globrex,3420
301,redux-thunk,3420
302,trim-lines,3420
303,retry-request,3420
304,js-sdsl,3420
305,date-format,3420
306,@csstools/postcss-cascade-layers,3420
307,@yarnpkg/fslib,3420
308,vue,3420
309,internmap,3420
310,isomorphic-fetch,3420
311,title-case,3420
312,clipboardy,3420
313,postcss-clamp,3420
314,array-differ,3420
315,@graphql-tools/import,3420
316,@webpack-cli/serve,3420
317,react-test-renderer,3420
318,base64-arraybuffer,3420
319,postcss-media-query-parser,3420
320,supertest,3420
321,is-nan,3420
322,mongodb-connection-string-url,3420
323,csv-parse,3420
324,mississippi,3420
325,@csstools/postcss-stepped-value-functions,3420
326,generic-pool,3420
327,morgan,3420
328,@reduxjs/toolkit,3420
329,mustache,3420
330,esbuild-register,3420
331,postcss-nesting,3420
332,node-notifier,3420
333,longest-streak,3420
334,executable,3420
335,node-libs-browser,3420
336,sade,3420
337,concurrently,3420
338,sqlstring,3420
339,is-npm,3420
340,strict-event-emitter,3420
341,@types/escodegen,3420
342,multer,3420
343,browser-resolve,3420
344,@rollup/plugin-replace,3420
345,workbox-build,3420
346,pupa,3420
347,web-vitals,3420
348,@socket.io/component-emitter,3420
349,check-more-types,3420
350,remark-rehype,3420
351,istanbul-lib-hook,3420
352,joycon,3420
353,pgpass,3420
354,parse-filepath,3420
355,strip-comments,3420
356,token-types,3420
357,js-beautify,3420
358,eslint-plugin-es,3420
359,please-upgrade-node,3420
360,postcss-scss,3420
361,vue-eslint-parser,3420
362,babel-plugin-dynamic-import-node,3420
363,conventional-changelog-conventionalcommits,3420
364,lodash.kebabcase,3420
365,string.prototype.padend,3420
366,worker-farm,3420
367,@google-cloud/paginator,3420
368,known-css-properties,3420
369,workbox-window,3420
370,filenamify,3420
371,is-yarn-global,3420
372,intl-messageformat,3420
373,@ioredis/commands,3420
374,import-meta-resolve,3420
375,eventsource,3420
376,pnp-webpack-plugin,3420
377,nyc,3420
378,shellwords,3420
379,default-require-extensions,3420
380,@npmcli/installed-package-contents,3420
381,strtok3,3420
382,v8flags,3420
383,capture-exit,3420
384,stream-events,3420
385,workbox-expiration,3420
386,mathml-tag-names,3420
387,conventional-commits-filter,3420
388,workbox-navigation-preload,3420
389,workbox-precaching,3420
390,workbox-cacheable-response,3420
391,peek-readable,3420
392,p-filter,3420
393,graphql-request,3420
394,@graphql-tools/relay-operation-optimizer,3420
395,string-natural-compare,3420
396,cosmiconfig-typescript-loader,3420
397,workbox-background-sync,3420
398,@graphql-tools/optimize,3420
399,eslint-config-react-app,3420
400,vscode-languageserver-types,3420
401,strip-literal,3420
402,workbox-google-analytics,3420
403,preact,3420
404,google-gax,3420
405,globjoin,3420
406,lru-queue,3420
407,stackback,3420
408,siginfo,3420
409,@jest/create-cache-key-function,3420
410,workbox-sw,3420
411,stream-buffers,3420
412,lodash.escaperegexp,3420
413,klaw,3420
414,stubs,3420
415,jest-junit,3420
416,workbox-streams,3420
417,workbox-range-requests,3420
418,webpack-hot-middleware,3420
419,workbox-broadcast-update,3420
420,expand-template,3420
421,jasmine-core,3420
422,eslint-plugin-promise,3420
423,d3-hierarchy,3420
424,stylelint,3420
425,package-hash,3420
426,secure-json-parse,3420
427,remark-stringify,3420
428,@google-cloud/promisify,3420
429,formdata-polyfill,3420
430,multimatch,3420
431,@lukeed/csprng,3420
432,vscode-languageserver-textdocument,3420
433,array-find-index,3420
434,pstree.remy,3420
435,regexp-tree,3420
436,postcss-media-minmax,3420
437,simple-git,3420
438,fast-url-parser,3420
439,standard-as-callback,3420
440,redis,3420
441,@next/swc-linux-x64-musl,3420
442,unfetch,3420
443,array-slice,3420
444,github-from-package,3420
445,parallel-transform,3420
446,spawn-wrap,3420
447,napi-build-utils,3420
448,react-error-boundary,3420
449,engine.io-client,3420
450,socket.io-client,3420
451,@types/d3-shape,3420
452,d3-dispatch,3420
453,undefsafe,3420
454,rsvp,3420
455,less-loader,3420
456,stylelint-config-recommended,3420
457,swap-case,3420
458,fast-text-encoding,3420
459,append-field,3420
460,conventional-changelog-writer,3420
461,@tokenizer/token,3420
462,@graphql-tools/batch-execute,3420
463,react-shallow-renderer,3420
464,rw,3420
465,@rollup/plugin-commonjs,3420
466,write,3420
467,@types/mocha,3420
468,mdast-util-phrasing,3420
469,graphql-ws,3420
470,cypress,3420
471,postcss-env-function,3420
472,growly,3420
473,supports-color,3420
474,@google-cloud/projectify,3420
475,eslint-plugin-flowtype,3420
476,fromentries,3420
477,tinycolor2,3420
478,vinyl,3420
479,blob-util,3420
480,stream-each,3420
481,sane,3420
482,throttleit,3420
483,@vue/compiler-ssr,3420
484,@aws-sdk/credential-providers,3420
485,@types/chai,3420
486,bootstrap,3420
487,has-yarn,3420
488,decode-named-character-reference,3420
489,log4js,3420
490,@types/webpack,3420
491,isbinaryfile,3420
492,semver-regex,3420
493,ansi-styles,3420
494,@faker-js/faker,3420
495,ripemd160,3420
496,workerpool,3420
497,@emotion/use-insertion-effect-with-fallbacks,3420
498,xdg-basedir,3420
499,std-env,3420
500,registry-url,3420
501,@types/sockjs,3420
502,@types/serve-index,3420
503,d3-format,3420
504,node-abi,3420
505,colorspace,3420
506,postcss-page-break,3420
507,raf,3420
508,text-hex,3420
509,ts-loader,3420
510,md5.js,3420
511,cross-env,3420
512,@sideway/pinpoint,3420
513,cipher-base,3420
514,svg-parser,3420
515,parse-asn1,3420
516,hard-rejection,3420
517,playwright,3420
518,debounce,3420
519,@npmcli/run-script,3420
520,async-retry,3420
521,@babel/preset-flow,3420
522,linkify-it,3420
523,tinyspy,3420
524,webpack-cli,3420
525,node-dir,3420
526,@whatwg-node/fetch,3420
527,comma-separated-tokens,3420
528,npm-install-checks,3420
529,change-case,3420
530,style-to-object,3420
531,next,3420
532,natural-compare-lite,3420
533,xml,3420
534,babel-runtime,3420
535,sirv,3420
536,totalist,3420
537,@types/sinonjs__fake-timers,3420
538,crypto-js,3420
539,constants-browserify,3420
540,uc.micro,3420
541,@babel/runtime-corejs3,3420
542,deprecation,3420
543,netmask,3420
544,connect,3420
545,stream-http,3420
546,fn.name,3420
547,is-what,3420
548,@svgr/plugin-svgo,3420
549,browserify-rsa,3420
550,eslint-config-airbnb-base,3420
551,async-each,3420
552,bail,3420
553,string.prototype.repeat,3420
554,ccount,3420
555,conventional-commits-parser,3420
556,for-own,3420
557,@graphql-typed-document-node/core,3420
558,create-ecdh,3420
559,unist-util-position,3420
560,@vue/compiler-core,3420
561,browser-stdout,3420
562,evp_bytestokey,3420
563,@vue/compiler-sfc,3420
564,pbkdf2,3420
565,array-uniq,3420
566,d3-scale,3420
567,es-array-method-boxes-properly,3420
568,jscodeshift,3420
569,stringify-object,3420
570,d3-time-format,3420
571,lodash.flatten,3420
572,buffer-xor,3420
573,vite-node,3420
574,@types/responselike,3420
575,cachedir,3420
576,portfinder,3420
577,flow-parser,3420
578,browserify-aes,3420
579,is-builtin-module,3420
580,event-emitter,3420
581,@rollup/plugin-node-resolve,3420
582,cac,3420
583,@types/sizzle,3420
584,node-domexception,3420
585,prismjs,3420
586,serialize-error,3420
587,shelljs,3420
588,socket.io-parser,3420
589,mri,3420
590,npm-registry-fetch,3420
591,ufo,3420
592,pino,3420
593,configstore,3420
594,filter-obj,3420
595,@svgr/core,3420
596,@svgr/plugin-jsx,3420
597,randomfill,3420
598,mocha,3420
599,basic-auth,3420
600,highlight.js,3420
601,copy-webpack-plugin,3420
602,d3-interpolate,3420
603,utila,3420
604,@svgr/hast-util-to-babel-ast,3420
605,process-warning,3420
606,caniuse-api,3420
607,reselect,3420
608,cssnano-utils,3420
609,@vitest/expect,3420
610,before-after-hook,3420
611,browserify-cipher,3420
612,trough,3420
613,postcss-normalize-positions,3420
614,postcss-normalize-repeat-style,3420
615,@types/hoist-non-react-statics,3420
616,pumpify,3420
617,@rushstack/eslint-patch,3420
618,expand-tilde,3420
619,errno,3420
620,postcss-normalize-string,3420
621,postcss-normalize-display-values,3420
622,postcss-normalize-timing-functions,3420
623,crypto-browserify,3420
624,homedir-polyfill,3420
625,@types/minimist,3420
626,pngjs,3420
627,@aws-sdk/util-utf8-browser,3420
628,public-encrypt,3420
629,browserify-des,3420
630,minimist-options,3420
631,temp,3420
632,@types/node-forge,3420
633,@next/env,3420
634,@babel/eslint-parser,3420
635,es6-symbol,3420
636,@npmcli/promise-spawn,3420
637,engine.io-parser,3420
638,d3-path,3420
639,@graphql-codegen/plugin-helpers,3420
640,des.js,3420
641,unbzip2-stream,3420
642,object.getownpropertydescriptors,3420
643,@types/connect-history-api-fallback,3420
644,duplexer2,3420
645,@yarnpkg/lockfile,3420
646,pacote,3420
647,source-list-map,3420
648,@types/cors,3420
649,@fastify/busboy,3420
650,resolve-dir,3420
651,@angular-devkit/schematics,3420
652,void-elements,3420
653,pg-protocol,3420
654,util.promisify,3420
655,decamelize-keys,3420
656,cookiejar,3420
657,es5-ext,3420
658,builtin-status-codes,3420
659,mdurl,3420
660,character-reference-invalid,3420
661,pino-std-serializers,3420
662,url-join,3420
663,@typescript-eslint/experimental-utils,3420
664,react-redux,3420
665,brorand,3420
666,d3-color,3420
667,readdir-glob,3420
668,@octokit/plugin-rest-endpoint-methods,3420
669,d3-time,3420
670,b4a,3420
671,JSONStream,3420
672,@polka/url,3420
673,@swc/core,3420
674,d3-shape,3420
675,hmac-drbg,3420
676,minimalistic-crypto-utils,3420
677,timers-browserify,3420
678,tty-browserify,3420
679,diffie-hellman,3420
680,tinypool,3420
681,dns-equal,3420
682,postcss-custom-media,3420
683,is-text-path,3420
684,form-data-encoder,3420
685,dependency-graph,3420
686,pretty-ms,3420
687,yarn,3420
688,pg-pool,3420
689,p-event,3420
690,property-expr,3420
691,postcss-selector-not,3420
692,replace-ext,3420
693,postcss-custom-selectors,3420
694,pg-int8,3420
695,compare-func,3420
696,postcss-pseudo-class-any-link,3420
697,postcss-color-rebeccapurple,3420
698,postcss-attribute-case-insensitive,3420
699,postcss-color-hex-alpha,3420
700,semver-diff,3420
701,mdast-util-definitions,3420
702,sinon,3420
703,package-json,3420
704,ignore-by-default,3420
705,engine.io,3420
706,is-reference,3420
707,postcss-custom-properties,3420
708,socket.io,3420
709,update-notifier,3420
710,less,3420
711,@csstools/selector-specificity,3420
712,zwitch,3420
713,p-is-promise,3420
714,@graphql-codegen/visitor-plugin-common,3420
715,on-exit-leak-free,3420
716,puppeteer-core,3420
717,redis-parser,3420
718,socket.io-adapter,3420
719,@svgr/webpack,3420
720,simple-update-notifier,3420
721,node-emoji,3420
722,lodash.mergewith,3420
723,micromark-extension-gfm-tagfilter,3420
724,postcss-preset-env,3420
725,@types/validator,3420
726,postcss-image-set-function,3420
727,postcss-place,3420
